interview_number,interview_date,interview_time,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter2_gender,alter2_age,alter2_class,alter2_home,alter3_gender,alter3_age,alter3_class,alter3_home,alter4_gender,alter4_age,alter4_class,alter4_home,alter5_gender,alter5_age,alter5_class,alter5_home
self,08/29/2016,9:57 PM,18,Freshman,Rest of US,5,F,54,Other,Rest of US,M,59,Other,Rest of US,F,20,Sophomore,Rest of US,F,17,Other,Rest of US,F,75,Other,Bay Area
1,08/29/2016,8:47 PM,18,Freshman,Rest of World,2,F,46,Other,Rest of World,M,50,Other,Rest of World,,,,,,,,,,,,
2,08/29/2016,8:52 PM,17,Freshman,LA,4,F,42,Other,LA,F,35,Other,Rest of US,M,22,Junior,LA,F,21,Sophomore,LA,,,,
3,08/29/2016,8:59 PM,19,Sophomore,Bay Area,4,F,52,Other,Bay Area,F,19,Sophomore,Bay Area,F,19,Sophomore,Rest of California,M,19,Sophomore,LA,,,,
4,08/29/2016,3:35 PM,19,Sophomore,Bay Area,5,M,53,Other,Rest of World,F,53,Other,Rest of World,M,19,Sophomore,LA,M,25,Senior,LA,F,19,Sophomore,Rest of California
self,08/29/2016,4:00,20,Senior,Rest of World,4,M,23,Senior,Rest of World,F,40,Other,Rest of World,M,50,Other,Rest of World,M,21,Sophomore,Rest of World,,,,
1,08/29/2016,3:30,20,Junior,Rest of California,4,F,53,Other,Rest of California,M,58,Other,Rest of California,F,24,Other,Rest of California,M,20,Junior,Rest of California,,,,
2,08/29/2016,3:40,17,Freshman,LA,5,M,17,Freshman,LA,F,50,Other,LA,F,15,Other,LA,F,16,Other,LA,F,18,Other,Rest of US
3,08/30/2016,4:00,22,Junior,Bay Area,4,M,23,Other,Rest of World,M,25,Other,Rest of World,F,22,Other,LA,M,21,Senior,Rest of World,,,,
self,09/05/2016,6:31 PM,20,Junior,Rest of World,5,F,20,Junior,Rest of World,M,20,Junior,Rest of US,F,21,Senior,Rest of World,M,20,Junior,Rest of World,M,18,Other,Rest of World
1,08/30/2016,3:35 PM,21,Senior,LA,5,M,21,Senior,LA,M,21,Senior,Rest of US,F,21,Senior,Rest of California,M,47,Other,LA,F,51,Other,LA
2,08/30/2016,3:36 PM,19,Sophomore,Bay Area,5,F,18,Sophomore,LA,M,18,Sophomore,Bay Area,F,19,Sophomore,Bay Area,M,18,Sophomore,LA,F,45,Other,Bay Area
3,09/05/2016,6:30 PM,20,Junior,LA,4,M,20,Junior,LA,M,20,Junior,LA,M,20,Junior,LA,M,20,Junior,Rest of US,,,,
self,08/29/2016,3:30 PM,19,Sophomore,Rest of US,5,F,19,Sophomore,Bay Area,F,19,Sophomore,LA,F,50,Other,Rest of World,F,16,Other,Rest of US,F,19,Sophomore,Rest of US
1,08/29/2016,3:30 PM,19,Sophomore,Rest of US,5,F,53,Other,Rest of US,F,19,Sophomore,Rest of US,F,19,Sophomore,LA,F,19,Sophomore,Rest of US,F,19,Sophomore,Rest of US
2,08/29/2016,4:15 PM,19,Sophomore,Bay Area,5,M,19,Sophomore,LA,F,50,Other,Rest of World,M,54,Other,Rest of World,F,19,Sophomore,Rest of US,F,19,Sophomore,LA
3,08/29/2016,4:20 PM,19,Sophomore,LA,5,M,55,Other,Rest of World,F,57,Other,Rest of World,M,19,Sophomore,LA,F,19,Sophomore,LA,F,19,Sophomore,Rest of US
